Method,Client,Task,# Experts,% Param,Final Accuracy (%),Final Loss,History path
FedLoRA-Single,0,SST-2,1,,89.99999761581421,0.25856658816337585,/content/FedLEASE_ablation/runs/ablation_12clients_single_expert_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLoRA-Single,1,SST-2,1,,87.99999952316284,0.352081835269928,/content/FedLEASE_ablation/runs/ablation_12clients_single_expert_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLoRA-Single,2,SST-2,1,,91.50000214576721,0.2752382755279541,/content/FedLEASE_ablation/runs/ablation_12clients_single_expert_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLoRA-Single,3,QNLI,1,,62.00000047683716,0.9795065522193909,/content/FedLEASE_ablation/runs/ablation_12clients_single_expert_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLoRA-Single,4,QNLI,1,,61.000001430511475,1.0803529024124146,/content/FedLEASE_ablation/runs/ablation_12clients_single_expert_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLoRA-Single,5,QNLI,1,,63.999998569488525,0.9368847608566284,/content/FedLEASE_ablation/runs/ablation_12clients_single_expert_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLoRA-Single,6,MRPC,1,,77.99999713897705,0.44398826360702515,/content/FedLEASE_ablation/runs/ablation_12clients_single_expert_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLoRA-Single,7,MRPC,1,,73.00000190734863,0.5004715919494629,/content/FedLEASE_ablation/runs/ablation_12clients_single_expert_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLoRA-Single,8,MRPC,1,,75.99999904632568,0.4978906214237213,/content/FedLEASE_ablation/runs/ablation_12clients_single_expert_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLoRA-Single,9,QQP,1,,79.00000214576721,0.5043231844902039,/content/FedLEASE_ablation/runs/ablation_12clients_single_expert_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLoRA-Single,10,QQP,1,,73.50000143051147,0.5656247735023499,/content/FedLEASE_ablation/runs/ablation_12clients_single_expert_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLoRA-Single,11,QQP,1,,74.00000095367432,0.5614280104637146,/content/FedLEASE_ablation/runs/ablation_12clients_single_expert_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLoRA-Individual,0,SST-2,12,,91.00000262260437,0.5738564133644104,/content/FedLEASE_ablation/runs/ablation_12clients_individual_experts_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLoRA-Individual,1,SST-2,12,,94.9999988079071,0.3039107620716095,/content/FedLEASE_ablation/runs/ablation_12clients_individual_experts_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLoRA-Individual,2,SST-2,12,,90.49999713897705,0.5708909034729004,/content/FedLEASE_ablation/runs/ablation_12clients_individual_experts_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLoRA-Individual,3,QNLI,12,,85.00000238418579,0.6428931951522827,/content/FedLEASE_ablation/runs/ablation_12clients_individual_experts_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLoRA-Individual,4,QNLI,12,,85.50000190734863,0.8048515915870667,/content/FedLEASE_ablation/runs/ablation_12clients_individual_experts_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLoRA-Individual,5,QNLI,12,,81.99999928474426,0.7719228863716125,/content/FedLEASE_ablation/runs/ablation_12clients_individual_experts_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLoRA-Individual,6,MRPC,12,,86.50000095367432,0.8058058023452759,/content/FedLEASE_ablation/runs/ablation_12clients_individual_experts_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLoRA-Individual,7,MRPC,12,,87.5,0.576652467250824,/content/FedLEASE_ablation/runs/ablation_12clients_individual_experts_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLoRA-Individual,8,MRPC,12,,86.00000143051147,0.5794748663902283,/content/FedLEASE_ablation/runs/ablation_12clients_individual_experts_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLoRA-Individual,9,QQP,12,,82.4999988079071,0.891599714756012,/content/FedLEASE_ablation/runs/ablation_12clients_individual_experts_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
FedLoRA-Individual,10,QQP,12,,77.49999761581421,0.9746768474578857,/content/FedLEASE_ablation/runs/ablation_12clients_individual_experts_seed42/roberta-large_multi_task_federated_12/proposed_m2/training_history.json
